datetime,Depth_meter,Water_Temperature_celsius
2017-05-17 0:00,0,15.2
2017-05-17 0:00,1,14.8
2017-05-17 0:00,2,14.6
2017-05-17 0:00,3,14.4
2017-05-17 0:00,4,13.7
2017-05-17 0:00,5,13.3
2017-05-17 0:00,6,12.5
2017-05-17 0:00,7,10.4
2017-05-17 0:00,8,8.4
2017-05-17 0:00,9,7.2
2017-05-17 0:00,10,6.4
2017-05-17 0:00,11,6
2017-05-17 0:00,12,5.7
2017-05-17 0:00,13,5.5
2017-05-17 0:00,14,5.3
2017-05-17 0:00,15,5.2
2017-05-17 0:00,16,5.2
2017-05-17 0:00,17,5.1
2017-05-17 0:00,18,5.1
2017-05-17 0:00,19,5
2017-05-17 0:00,20,5
2017-05-17 0:00,21,5
2017-05-17 0:00,22,5
